Rank,Title,Year,Composer(s),Lyricist(s),URL
840,Cottage for Sale,1930,Willard Robison,Larry Conley,https://www.jazzstandards.com/compositions-8/cottageforsale.htm
841,I Could Have Danced All Night,1956,Frederick Loewe,Alan Jay Lerner,https://www.jazzstandards.com/compositions-8/icouldhavedancedallnight.htm
842,Ev'rything I've Got (Belongs to You),1942,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-8/evrythingivegot.htm
843,Nobody's Sweetheart Now,1924,"Ernie Erdman, Gus Kahn, Billy Meyers, Elmer Schoebel","Ernie Erdman, Gus Kahn, Billy Meyers, Elmer Schoebel",https://www.jazzstandards.com/compositions-8/nobodyssweetheartnow.htm
844,I'll String Along with You,1934,Harry Warren,Al Dubin,https://www.jazzstandards.com/compositions-8/illstringalongwithyou.htm
845,My Monday Date,1928,Earl Hines,Sid Robin,https://www.jazzstandards.com/compositions-8/mymondaydate.htm
846,Shine on Harvest Moon,1908,Jack Norworth,Nora Bayes,https://www.jazzstandards.com/compositions-8/shineonharvestmoon.htm
847,Close Enough for Love,1979,Johnny Mandel,Paul Williams,https://www.jazzstandards.com/compositions-8/closeenoughforlove.htm
848,You Make Me Feel so Young,1946,Josef Myrow,Mack Gordon,https://www.jazzstandards.com/compositions-8/youmakemefeelsoyoung.htm
849,South,1924,"Bennie Moten, Thamon Hayes","Bennie Moten, Thamon Hayes",https://www.jazzstandards.com/compositions-8/south.htm
850,Taboo,1934,Margarita Lecuona,Margarita Lecuona,https://www.jazzstandards.com/compositions-8/taboo.htm
851,Sippin' At Bell's,1947,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-8/sippinatbells.htm
852,It's Wonderful,1938,Stuff Smith,Mitchell Parish,https://www.jazzstandards.com/compositions-8/itswonderful.htm
853,Stolen Moments,1961,Oliver Nelson,Oliver Nelson,https://www.jazzstandards.com/compositions-8/stolenmoments.htm
854,Walk on By,1961,Burt F Bacharach,Hal David,https://www.jazzstandards.com/compositions-8/walkonby.htm
855,Red Top,1947,"Lionel Hampton, Ken Kynard","Lionel Hampton, Ken Kynard",https://www.jazzstandards.com/compositions-8/redtop.htm
856,Fever,1956,"Eddie Cooley, John R Davenport","Eddie Cooley, John R Davenport",https://www.jazzstandards.com/compositions-8/fever.htm
857,Blame It on My Youth,1934,Oscar Levant,Edward Heyman,https://www.jazzstandards.com/compositions-8/blameitonmyyouth.htm
858,Ow!,1947,Dizzy Gillespie,Dizzy Gillespie,https://www.jazzstandards.com/compositions-8/ow.htm
859,Dexterity,1947,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-8/dexterity.htm
860,The Man That Got Away,1954,Harold Arlen,Ira Gershwin,https://www.jazzstandards.com/compositions-8/themanthatgotaway.htm
861,Wild Man Blues,1927,"Louis Armstrong, Jelly Roll Morton","Louis Armstrong, Jelly Roll Morton",https://www.jazzstandards.com/compositions-8/wildmanblues.htm
862,My Reverie,1938,Larry Clinton,Larry Clinton,https://www.jazzstandards.com/compositions-8/myreverie.htm
863,For Sentimental Reasons,1945,William Best,Deek Watson,https://www.jazzstandards.com/compositions-8/forsentimentalreasons.htm
864,Maybe You'll Be There,1947,Rube Bloom,Sammy Gallop,https://www.jazzstandards.com/compositions-8/maybeyoullbethere.htm
865,I'll Close My Eyes,1945,William Gordon Reid,Buddy Kaye,https://www.jazzstandards.com/compositions-8/illclosemyeyes.htm
866,I Waited for You,1946,"Walter Gilbert Fuller, Dizzy Gillespie","Walter Gilbert Fuller, Dizzy Gillespie",https://www.jazzstandards.com/compositions-8/iwaitedforyou.htm
867,New Orleans,1932,Hoagy Carmichael,Hoagy Carmichael,https://www.jazzstandards.com/compositions-8/neworleans.htm
868,Conception,1950,George Shearing,George Shearing,https://www.jazzstandards.com/compositions-8/conception.htm
869,At Last,1942,"Mack Gordon, Harry Warren","Mack Gordon, Harry Warren",https://www.jazzstandards.com/compositions-8/atlast.htm
870,Jim,1941,"Caeser Petrillo, Edward Ross",Nelson Shawn,https://www.jazzstandards.com/compositions-8/jim.htm
871,Yours Is My Heart Alone,1929,Franz Lehar,"Ludwig Herzer, Beda Fritz Loehner, Harry B. Smith",https://www.jazzstandards.com/compositions-8/yoursismyheartalone.htm
872,Bad and the Beautiful (Theme from the),1953,David Raksin,David Raksin,https://www.jazzstandards.com/compositions-8/badandthebeautiful.htm
873,My Honey's Lovin' Arms,1922,Joseph Meyer,Herman Ruby,https://www.jazzstandards.com/compositions-8/myhoneyslovinarms.htm
874,The World Is Waiting for the Sunrise,1919,Ernest Seitz,Eugene Lockhart,https://www.jazzstandards.com/compositions-8/theworldiswaitingforthesunrise.htm
875,Bohemia After Dark,1955,Oscar Pettiford,Oscar Pettiford,https://www.jazzstandards.com/compositions-8/bohemiaafterdark.htm
876,Off Minor,1947,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-8/offminor.htm
877,You'll Never Know,1943,Harry Warren,Mack Gordon,https://www.jazzstandards.com/compositions-8/youllneverknow.htm
878,The Best Is Yet to Come,1959,Cy Coleman,Carolyn Leigh,https://www.jazzstandards.com/compositions-8/thebestisyettocome.htm
879,Triste,1967,Antonio Carlos Jobim,Antonio Carlos Jobim,https://www.jazzstandards.com/compositions-8/triste.htm
880,Haunted Heart,1948,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-8/hauntedheart.htm
881,Dizzy Atmosphere,1944,Dizzy Gillespie,Dizzy Gillespie,https://www.jazzstandards.com/compositions-8/dizzyatmosphere.htm
882,Moonlight Serenade,1939,Glenn Miller,Mitchell Parish,https://www.jazzstandards.com/compositions-8/moonlightserenade.htm
883,Goin' Out of My Head,1964,"Teddy Randazzo, Bobby Weinstein","Teddy Randazzo, Bobby Weinstein",https://www.jazzstandards.com/compositions-8/goinoutofmyhead.htm
884,I'm Putting All My Eggs in One Basket,1936,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-8/imputtingallmyeggsinonebasket.htm
885,Perfidia,1939,"Alberto Dominguez, Milton Leeds","Alberto Dominguez, Milton Leeds",https://www.jazzstandards.com/compositions-8/perfidia.htm
886,Lotus Blossom,1947,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-8/lotusblossom.htm
887,Mas Que Nada,1963,Jorge Ben,Jorge Ben,https://www.jazzstandards.com/compositions-8/masquenada.htm
888,I Ain't Got Nothin' but the Blues,1944,Duke Ellington,Don George,https://www.jazzstandards.com/compositions-8/iaintgotnothinbuttheblues.htm
889,Maple Leaf Rag,1899,Scott Joplin,Sydney Brown,https://www.jazzstandards.com/compositions-8/mapleleafrag.htm
890,Make Someone Happy,1960,Jule Styne,"Betty Comden, Adolph Green",https://www.jazzstandards.com/compositions-8/makesomeonehappy.htm
891,Serenata,1949,Leroy Anderson,Mitchell Parish,https://www.jazzstandards.com/compositions-8/serenata.htm
892,Black Coffee,1948,"Sonny Burke, Paul Francis Webster","Sonny Burke, Paul Francis Webster",https://www.jazzstandards.com/compositions-8/blackcoffee.htm
893,A Taste of Honey,1960,Bobby Scott,Ric Marlow,https://www.jazzstandards.com/compositions-8/atasteofhoney.htm
894,Half Nelson,1948,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-8/halfnelson.htm
895,Cheryl,1947,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-8/cheryl.htm
896,I'm an Old Cowhand (From the Rio Grande),1936,Johnny Mercer,Johnny Mercer,https://www.jazzstandards.com/compositions-8/imanoldcowhand.htm
897,The Glory of Love,1936,William J Hill,William J Hill,https://www.jazzstandards.com/compositions-8/thegloryoflove.htm
898,"Baby, It's Cold Outside",1948,Frank Loesser,Frank Loesser,https://www.jazzstandards.com/compositions-8/babyitscoldoutside.htm
899,Route 66,1946,Bobby Troup,Bobby Troup,https://www.jazzstandards.com/compositions-8/route66.htm
900,Snowfall,1941,Claude Thornhill,Ray Charles,https://www.jazzstandards.com/compositions-8/snowfall.htm
901,Aunt Hagar's Blues,1920,W.C. Handy,J Tim Brymn,https://www.jazzstandards.com/compositions-9/aunthagarsblues.htm
902,I See Your Face Before Me,1937,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-9/iseeyourfacebeforeme.htm
903,Equinox,1960,John Coltrane,John Coltrane,https://www.jazzstandards.com/compositions-9/equinox.htm
904,I've Got My Love to Keep Me Warm,1937,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/ivegotmylovetokeepmewarm.htm
905,I Want to Talk About You,1946,Billy Eckstine,Billy Eckstine,https://www.jazzstandards.com/compositions-9/iwanttotalkaboutyou.htm
906,The Continental,1934,Con Conrad,Herb Magidson,https://www.jazzstandards.com/compositions-9/thecontinental.htm
907,Moonlight Becomes You,1942,Jimmy Van Heusen,Johnny Burke,https://www.jazzstandards.com/compositions-9/moonlightbecomesyou.htm
908,Wait Till You See Her,1942,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-9/waittillyouseeher.htm
909,At Long Last Love,1937,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-9/atlonglastlove.htm
910,Dream Dancing,1941,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-9/dreamdancing.htm
911,Brazil,1941,Ary Evangelista Barroso,Bob Russell,https://www.jazzstandards.com/compositions-9/brazil.htm
912,This Year's Kisses,1937,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/thisyearskisses.htm
913,There Are Such Things,1942,"Abel Baer, George W Meyer",Stanley Adams,https://www.jazzstandards.com/compositions-9/therearesuchthings.htm
914,Chattanooga Choo Choo,1941,Harry Warren,Mack Gordon,https://www.jazzstandards.com/compositions-9/chattanoogachoochoo.htm
915,(Please) Do It Again,1922,George Gershwin,BG De Sylva,https://www.jazzstandards.com/compositions-9/doitagain.htm
916,Tonight,1957,Leonard Bernstein,Stephen Sondheim,https://www.jazzstandards.com/compositions-9/tonight.htm
917,Away in a Manger,1887,"Mtume, James Ramsey Murray","Mtume, James Ramsey Murray",https://www.jazzstandards.com/compositions-9/awayinamanger.htm
918,All Alone,1924,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/allalone.htm
919,You Are My Sunshine,1940,"Jimmie Davis, Charles Mitchell","Jimmie Davis, Charles Mitchell",https://www.jazzstandards.com/compositions-9/youaremysunshine.htm
920,I Can't Stop Loving You,1958,Don Gibson,Don Gibson,https://www.jazzstandards.com/compositions-9/icantstoplovingyou.htm
921,Any Old Time,1930,Artie Shaw,Artie Shaw,https://www.jazzstandards.com/compositions-9/anyoldtime.htm
922,My Baby Just Cares for Me,1930,Walter Donaldson,Gus Kahn,https://www.jazzstandards.com/compositions-9/mybabyjustcaresforme.htm
923,Peace,1959,Horace Silver,Horace Silver,https://www.jazzstandards.com/compositions-9/peace.htm
924,There's a Lull in My Life,1937,Harry Revel,Mack Gordon,https://www.jazzstandards.com/compositions-9/theresalullinmylife.htm
925,Stormy Monday Blues,1942,"Billy Eckstine, Earl Hines, Bob Crowder","Billy Eckstine, Earl Hines, Bob Crowder",https://www.jazzstandards.com/compositions-9/stormymondayblues.htm
926,Change Partners,1937,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/changepartners.htm
927,They All Laughed,1936,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-9/theyalllaughed.htm
928,Hello Young Lovers,1951,Richard Rodgers,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-9/helloyounglovers.htm
929,Kansas City,1952,Jerry Leiber,Mike Stoller,https://www.jazzstandards.com/compositions-9/kansascity.htm
930,Roll 'Em Pete,1941,Pete Johnson,Joe Turner,https://www.jazzstandards.com/compositions-9/rollempete.htm
931,Every Tub,1938,"Count Basie, Eddie Durham","Count Basie, Eddie Durham",https://www.jazzstandards.com/compositions-9/everytub.htm
932,Ring Dem Bells,1930,Duke Ellington,Irving Mills,https://www.jazzstandards.com/compositions-9/ringdembells.htm
933,Rocks in My Bed,1941,Duke Ellington,Duke Ellington,https://www.jazzstandards.com/compositions-9/rocksinmybed.htm
934,Let Me Off Uptown,1941,"Earl Bostic, Redd Evans","Earl Bostic, Redd Evans",https://www.jazzstandards.com/compositions-9/letmeoffuptown.htm
935,Jump for Joy,1941,Duke Ellington,"Sid Kuller, Paul Francis Webster",https://www.jazzstandards.com/compositions-9/jumpforjoy.htm
936,Make Believe,1927,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-9/makebelieve.htm
937,It All Depends on You,1926,Ray Henderson,"Lew Brown, BG De Sylva",https://www.jazzstandards.com/compositions-9/italldependsonyou.htm
938,Mambo Inn,1952,"Grace Samson, Bobby Woodlen, Mario Bauza","Grace Samson, Bobby Woodlen, Mario Bauza",https://www.jazzstandards.com/compositions-9/mamboinn.htm
939,Rosalie,1937,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-9/rosalie.htm
940,You're the Top,1934,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-9/yourethetop.htm
941,Fine and Mellow,1940,Billie Holiday,Billie Holiday,https://www.jazzstandards.com/compositions-9/fineandmellow.htm
942,Four Brothers,1948,Jimmy Giuffre,Jimmy Giuffre,https://www.jazzstandards.com/compositions-9/fourbrothers.htm
943,Christmas Time is Here,1966,"Lee Mendelson, Vince Guaraldi","Lee Mendelson, Vince Guaraldi",https://www.jazzstandards.com/compositions-9/christmastimeishere.htm
944,Time Out,1937,"Edgar William Battle, Eddie Durham","Edgar William Battle, Eddie Durham",https://www.jazzstandards.com/compositions-9/timeout.htm
945,What a Wonderful World,1967,"Robert Thiele, George Weiss, George Douglas","Robert Thiele, George Weiss, George Douglas",https://www.jazzstandards.com/compositions-9/whatawonderfulworld.htm
946,So Rare,1937,Jerry Herst,Jack Sharpe,https://www.jazzstandards.com/compositions-9/sorare.htm
947,You Made Me Love You,1913,James V Monaco,Joseph Sr McCarthy,https://www.jazzstandards.com/compositions-9/youmademeloveyou.htm
948,Opus One,1943,Sy Oliver,Sid Garris,https://www.jazzstandards.com/compositions-9/opusone.htm
949,Easy Does It,1940,"Sy Oliver, Trummy Young","Sy Oliver, Trummy Young",https://www.jazzstandards.com/compositions-9/easydoesit.htm
950,All My Life,1936,Sam H Stept,Sidney D Mitchell,https://www.jazzstandards.com/compositions-9/allmylife.htm
951,Straighten Up and Fly Right,1944,"Nat “King” Cole, Irving Mills","Nat “King” Cole, Irving Mills",https://www.jazzstandards.com/compositions-9/straightenupandflyright.htm
952,Maiden Voyage,1965,Herbie Hancock,Herbie Hancock,https://www.jazzstandards.com/compositions-9/maidenvoyage.htm
953,The Creole Love Call,1928,Duke Ellington,Duke Ellington,https://www.jazzstandards.com/compositions-9/thecreolelovecall.htm
954,Singin' in the Rain,1929,Nacio Herb Brown,Arthur Freed,https://www.jazzstandards.com/compositions-9/singinintherain.htm
955,Idaho,1942,Jesse A Stone,Jesse A Stone,https://www.jazzstandards.com/compositions-9/idaho.htm
956,Sweethearts on Parade,1928,Carmen Lombardo,Charles Newman,https://www.jazzstandards.com/compositions-9/sweetheartsonparade.htm
957,Temptation,1933,Nacio Herb Brown,Arthur Freed,https://www.jazzstandards.com/compositions-9/temptation.htm
958,Auld Lang Syne,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-9/auldlangsyne.htm
959,Heat Wave,1933,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/heatwave.htm
960,String of Pearls,1941,"Jerry Gray, Eddie De Lange","Jerry Gray, Eddie De Lange",https://www.jazzstandards.com/compositions-9/stringofpearls.htm
961,Smooth Sailing,1959,Arnett Cobb,Arnett Cobb,https://www.jazzstandards.com/compositions-9/smoothsailing.htm
962,"It's Been a Long, Long Time",1945,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-9/itsbeenalonglongtime.htm
963,I Believe in You,1961,Frank Loesser,Frank Loesser,https://www.jazzstandards.com/compositions-9/ibelieveinyou.htm
964,I'm Just Wild About Harry,1921,Eubie Blake,Noble Sissle,https://www.jazzstandards.com/compositions-9/imjustwildaboutharry.htm
965,Pinetop's Boogie Woogie,1929,"""Pinetop"" Smith","""Pinetop"" Smith",https://www.jazzstandards.com/compositions-9/pinetopsboogiewoogie.htm
966,An Affair to Remember,1957,Harry Warren,"Harold Adamson, Leo McCarey",https://www.jazzstandards.com/compositions-9/anaffairtoremember.htm
967,Bei Mir Bist Du Schoen,1937,Sholom Secunda,"Jacob Jacobs, Sammy Cahn, Saul Chaplin",https://www.jazzstandards.com/compositions-9/beimirbistduschoen.htm
968,Stranger in Paradise,1954,"Chet Forrest, Robert Craig Wright","Chet Forrest, Robert Craig Wright",https://www.jazzstandards.com/compositions-9/strangerinparadise.htm
969,Echoes of Harlem,1936,Duke Ellington,Duke Ellington,https://www.jazzstandards.com/compositions-9/echoesofharlem.htm
970,Now It Can Be Told,1938,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/nowitcanbetold.htm
971,I Left My Heart in San Francisco,1954,George C Cory Jr,Douglass Cross,https://www.jazzstandards.com/compositions-9/ileftmyheartinsanfrancisco.htm
972,Too Young to Go Steady,1955,Jimmy McHugh,Harold Adamson,https://www.jazzstandards.com/compositions-9/tooyoungtogosteady.htm
973,When Day Is Done,1924,Robert Katscher,BG De Sylva,https://www.jazzstandards.com/compositions-9/whendayisdone.htm
974,What Are You Doing New Year's Eve?,1947,Frank Loesser,Frank Loesser,https://www.jazzstandards.com/compositions-9/whatareyoudoingnewyearseve.htm
975,Bill Bailey Won't You Please Come Home,1902,Hughie Cannon,Hughie Cannon,https://www.jazzstandards.com/compositions-9/billbaileywontyoupleasecomehome.htm
976,Every Day I Have the Blues,1950,Memphis Slim Chatman,Memphis Slim Chatman,https://www.jazzstandards.com/compositions-9/everydayihavetheblues.htm
977,O Little Town of Bethlehem,1868,Lewis H Redner,Phillip Brooks,https://www.jazzstandards.com/compositions-9/olittletownofbethlehem.htm
978,Red Cross,1945,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-9/redcross.htm
979,Nobody Knows You When You're Down and Out,1923,James Cox,James Cox,https://www.jazzstandards.com/compositions-9/nobodyknowsyouwhenyouredownandout.htm
980,Wham,1939,"Eddie Durham, Joseph Taps Miller","Eddie Durham, Joseph Taps Miller",https://www.jazzstandards.com/compositions-9/wham.htm
981,Rudolph the Red-Nosed Reindeer,1949,John D Marks,John D Marks,https://www.jazzstandards.com/compositions-9/rudolphtherednosedreindeer.htm
982,Back Water Blues,1927,Bessie Smith,Bessie Smith,https://www.jazzstandards.com/compositions-9/backwaterblues.htm
983,Maybe,1926,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-9/maybe.htm
984,I Wish You Love,1946,Charles Louis Trenet,"Albert Askew Beach, Charles Louis Trenet",https://www.jazzstandards.com/compositions-9/iwishyoulove.htm
985,Riverboat Shuffle,1939,Hoagy Carmichael,"Irving Mills, Mitchell Parish, Dick Voynow",https://www.jazzstandards.com/compositions-9/riverboatshuffle.htm
986,All By Myself,1921,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-9/allbymyself.htm
987,They Say,1938,"Stephan Weiss, Paul Mann",Edward Heyman,https://www.jazzstandards.com/compositions-9/theysay.htm
988,Charleston,1920,James P. Johnson,Cecil Mack,https://www.jazzstandards.com/compositions-9/charleston.htm
989,It Came Upon a Midnight Clear,1850,Richard Storrs Willis,Edmund H Sears,https://www.jazzstandards.com/compositions-9/itcameuponamidnightclear.htm
990,Let's Dance,1935,"Gregory Stone, Joseph Bonine",Fanny Baldridge,https://www.jazzstandards.com/compositions-9/letsdance.htm
991,Superstition,1972,Stevie Wonder,Stevie Wonder,https://www.jazzstandards.com/compositions-9/superstition.htm
992,Lullaby of Broadway,1935,Harry Warren,Al Dubin,https://www.jazzstandards.com/compositions-9/lullabyofbroadway.htm
993,What Kind of Fool Am I?,1962,"Leslie Bricusse, Anthony Newley","Leslie Bricusse, Anthony Newley",https://www.jazzstandards.com/compositions-9/whatkindoffoolami.htm
994,Harvard Blues,1942,"Count Basie, Tab Smith",George Frazier,https://www.jazzstandards.com/compositions-9/harvardblues.htm
995,Dream of You,1934,"Jimmie Lunceford, Edward P Moran, Sy Oliver","Jimmie Lunceford, Edward P Moran, Sy Oliver",https://www.jazzstandards.com/compositions-9/dreamofyou.htm
996,Wives and Lovers (Hey Little Girl),1963,Burt F Bacharach,Hal David,https://www.jazzstandards.com/compositions-9/wivesandlovers.htm
997,This Is All I Ask,1958,Gordon Jenkins,Gordon Jenkins,https://www.jazzstandards.com/compositions-9/thisisalliask.htm
998,Doggin' Around,1938,"Edgar William Battle, Herschel Evans","Edgar William Battle, Herschel Evans",https://www.jazzstandards.com/compositions-9/dogginaround.htm
999,I Won't Dance,1935,Jerome Kern,"Dorothy Fields, Oscar Hammerstein II, Otto Harbach, Jimmy McHugh",https://www.jazzstandards.com/compositions-9/iwontdance.htm
1000,To Each His Own,1946,"Raymond B Evans, Jay Livingston","Raymond B Evans, Jay Livingston",https://www.jazzstandards.com/compositions-9/toeachhisown.htm
